SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
119376,Cash loans,M,Y,Y,0,135000.0,261621.0,16848.0,216000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-18991,-1089,-8254.0,-105,16.0,1,1,0,1,0,1,Laborers,2.0,2,2,TUESDAY,9,0,0,0,0,1,1,Industry: type 3,,0.343540231553127,0.2580842039460289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-2311.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.0
121862,Cash loans,F,N,Y,0,112500.0,385164.0,13963.5,292500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.006852,-17854,-8478,-9232.0,-1364,,1,1,0,1,0,0,Medicine staff,1.0,3,3,MONDAY,9,0,0,0,0,0,0,Medicine,0.7327373345881378,0.0965356298291512,0.4794489811780563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2035.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
122699,Cash loans,F,N,Y,0,225000.0,746280.0,54436.5,675000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14352,-4118,-2073.0,-2081,,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,15,0,0,0,1,1,0,Self-employed,,0.1512429506205085,0.5154953751603267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-610.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
123004,Cash loans,F,N,N,2,135000.0,539100.0,29376.0,450000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.018801,-14733,-4444,-2369.0,-4227,,1,1,0,1,0,0,Core staff,4.0,2,2,MONDAY,12,0,0,0,0,1,1,Medicine,,0.1457357253102317,0.1168672659157136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
133645,Cash loans,M,Y,Y,1,157500.0,225000.0,11619.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.008625,-14577,-429,-2876.0,-2354,7.0,1,1,1,1,0,0,High skill tech staff,3.0,2,2,THURSDAY,11,0,0,0,0,0,0,Other,0.1663911635863008,0.6091613239763346,0.6832688314232291,,,0.9871,,,0.12,0.1034,0.3333,,,,0.1166,,,,,0.9871,,,0.1208,0.1034,0.3333,,,,0.1214,,,,,0.9871,,,0.12,0.1034,0.3333,,,,0.1187,,,,block of flats,0.0917,"Stone, brick",No,3.0,2.0,3.0,2.0,-1102.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
136740,Cash loans,F,N,Y,2,180000.0,407520.0,32328.0,360000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.025164,-12762,-216,-2110.0,-854,,1,1,0,1,0,1,Cleaning staff,4.0,2,2,FRIDAY,8,0,0,0,0,1,1,Business Entity Type 3,0.5715784907623614,0.1504111262473146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-422.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
137544,Cash loans,F,N,Y,0,148500.0,539100.0,27652.5,450000.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-14290,-6531,-686.0,-4875,,1,1,0,1,0,0,Cleaning staff,2.0,2,2,FRIDAY,18,0,0,0,0,1,1,School,0.2726184798721629,0.5372769507913617,0.4418358231994413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1688.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
138085,Cash loans,F,N,Y,0,180000.0,495000.0,25402.5,495000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-18665,-9595,-1265.0,-2204,,1,1,0,1,0,1,,2.0,3,3,MONDAY,12,0,0,0,0,0,0,Industry: type 3,0.7536777793325736,0.4906217906887596,0.524496446363472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-636.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
141945,Cash loans,F,N,Y,0,270000.0,409716.0,21046.5,342000.0,Unaccompanied,State servant,Secondary / secondary special,Married,With parents,0.020713,-13961,-5018,-806.0,-4382,,1,1,0,1,0,0,,2.0,3,3,FRIDAY,8,0,0,0,1,1,1,Other,,0.0004649736631641,0.2238313174701554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-520.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
142491,Cash loans,M,N,Y,0,157500.0,296280.0,16200.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010643,-20553,365243,-2125.0,-3720,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,,0.5987792200033096,0.4650692149562261,0.0165,,0.9816,,,,0.069,0.0417,,,,,,,0.0168,,0.9816,,,,0.069,0.0417,,,,,,,0.0167,,0.9816,,,,0.069,0.0417,,,,,,,,block of flats,0.0113,"Stone, brick",No,3.0,0.0,2.0,0.0,-602.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
150074,Cash loans,M,Y,Y,0,270000.0,1130548.5,40738.5,913500.0,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.006629,-9457,-935,-888.0,-1938,8.0,1,1,0,1,0,1,Core staff,2.0,2,2,MONDAY,6,0,0,0,0,0,0,Police,0.2956425520753893,0.5723906689547867,0.7001838506835805,0.0825,0.0,0.9806,0.7348,0.0094,0.0,0.2069,0.125,0.1667,0.0381,0.0672,0.0719,0.0,0.0118,0.084,0.0,0.9806,0.7452,0.0095,0.0,0.2069,0.125,0.1667,0.0389,0.0735,0.0749,0.0,0.0,0.0833,0.0,0.9806,0.7383,0.0095,0.0,0.2069,0.125,0.1667,0.0387,0.0684,0.0732,0.0,0.0121,reg oper account,block of flats,0.0617,Block,No,2.0,1.0,2.0,1.0,-670.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
151092,Cash loans,F,N,N,0,112500.0,203985.0,17442.0,148500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.011703,-9661,-1237,-9630.0,-2292,,1,1,0,1,1,0,Cleaning staff,1.0,2,2,FRIDAY,12,0,0,0,0,0,0,Business Entity Type 2,0.0560021286122199,0.2865769575264701,0.0435258067892661,0.0557,0.0624,0.9801,0.728,0.0059,0.0,0.1034,0.1667,0.2083,0.0478,0.0454,0.05,0.0,0.0,0.0567,0.0647,0.9801,0.7387,0.006,0.0,0.1034,0.1667,0.2083,0.0489,0.0496,0.0521,0.0,0.0,0.0562,0.0624,0.9801,0.7316,0.0059,0.0,0.1034,0.1667,0.2083,0.0486,0.0462,0.0509,0.0,0.0,not specified,block of flats,0.0393,"Stone, brick",No,0.0,0.0,0.0,0.0,-354.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
153817,Cash loans,F,N,N,0,225000.0,463500.0,17604.0,463500.0,Unaccompanied,State servant,Secondary / secondary special,Separated,House / apartment,0.020713,-16733,-5217,-7263.0,-282,,1,1,1,1,0,0,,1.0,3,3,THURSDAY,10,0,0,0,0,1,1,Other,,0.006570878689537,0.3523399726917038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2178.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
158831,Cash loans,M,Y,Y,0,202500.0,651960.0,27535.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-14377,-344,-105.0,-5095,12.0,1,1,0,1,0,0,Laborers,2.0,3,2,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.0699347014900997,0.4614823912998385,0.368,0.2459,0.9781,0.7008,0.0615,0.24,0.2069,0.4167,0.375,0.1633,0.2984,0.3371,0.0077,0.0026,0.375,0.2552,0.9782,0.7125,0.062,0.2417,0.2069,0.4167,0.375,0.1669999999999999,0.326,0.3513,0.0078,0.0027,0.3716,0.2459,0.9781,0.7048,0.0619,0.24,0.2069,0.4167,0.375,0.1661,0.3036,0.3432,0.0078,0.0026,org spec account,block of flats,0.2988,"Stone, brick",No,1.0,0.0,1.0,0.0,-254.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
158926,Cash loans,F,N,Y,0,135000.0,561393.0,21294.0,463500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-22562,365243,-2438.0,-5061,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.1504111262473146,0.6512602186973006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
162235,Cash loans,F,N,Y,1,225000.0,135000.0,10444.5,135000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.04622,-10575,-1068,-4976.0,-1338,,1,1,1,1,0,0,Core staff,3.0,1,1,THURSDAY,14,0,1,1,1,1,1,Bank,0.4202371413204178,0.6442716185753788,0.237916079507114,0.0371,0.0,0.9588,0.4356,0.0,0.0,0.2069,0.0833,0.125,0.0,0.0303,0.0488,0.0,0.0,0.0378,0.0,0.9588,0.4577,0.0,0.0,0.2069,0.0833,0.125,0.0,0.0331,0.0509,0.0,0.0,0.0375,0.0,0.9588,0.4431,0.0,0.0,0.2069,0.0833,0.125,0.0,0.0308,0.0497,0.0,0.0,reg oper account,block of flats,0.0384,Panel,No,0.0,0.0,0.0,0.0,-2009.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
162438,Cash loans,M,Y,Y,1,135000.0,172021.5,17757.0,148500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-17589,-1942,-5293.0,-1143,10.0,1,1,0,1,0,0,Drivers,3.0,2,2,THURSDAY,7,0,0,0,0,1,1,Construction,0.37898441984057,0.4881136255464909,0.4436153084085652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
162864,Cash loans,M,Y,N,1,292500.0,533313.0,38056.5,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-15283,-1451,-7243.0,-4557,4.0,1,1,0,1,0,0,Laborers,3.0,2,2,TUESDAY,13,0,0,0,0,1,1,Industry: type 4,0.3844502085367074,0.2414153786538832,0.5388627065779676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1036.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
